기간,지역,어린이 교통사고,,,어린이보호구역내 어린이 교통사고,,,어린이 보행 사상자,
,,발생건수,사망자수,부상자수,발생건수,사망자수,부상자수,사망자수,부상자수
2009,합계,"2,138",13,"2,421",82,2,86,9,"1,260"
,종로구,38,-,43,4,-,5,-,18
,중구,33,-,35,5,-,5,-,15
,용산구,42,-,49,2,-,2,-,23
,성동구,49,1,50,1,-,1,1,33
,광진구,76,-,83,1,-,1,-,44
,동대문구,76,1,80,1,-,1,1,52
,중랑구,144,-,175,6,-,6,-,85
,성북구,111,-,120,6,-,6,-,74
,강북구,81,1,95,1,-,1,1,58
,도봉구,75,-,83,8,-,8,-,38
,노원구,130,-,143,2,-,2,-,79
,은평구,123,-,131,8,-,9,-,85
,서대문구,68,-,79,1,-,1,-,45
,마포구,65,1,102,-,-,-,1,33
,양천구,117,-,129,5,-,5,-,68
,강서구,106,2,116,5,1,4,2,65
,구로구,86,-,98,2,-,2,-,45
,금천구,61,1,67,1,-,1,1,37
,영등포구,89,1,105,2,-,2,1,44
,동작구,78,-,87,5,-,6,-,53
,관악구,92,-,103,4,-,4,-,61
,서초구,75,2,88,3,-,4,-,39
,강남구,94,1,101,2,-,2,-,45
,송파구,128,1,147,3,-,4,1,64
,강동구,101,1,112,4,1,4,-,57
2010,합계,"1,930",14,"2,154",113,3,116,11,"1,118"
,종로구,33,-,40,4,-,4,-,19
,중구,23,-,25,1,-,1,-,13
,용산구,36,-,44,1,-,1,-,26
,성동구,42,-,47,2,-,2,-,28
,광진구,79,2,91,3,1,3,2,46
,동대문구,73,-,82,5,-,5,-,36
,중랑구,112,-,127,5,-,5,-,63
,성북구,102,-,109,7,-,7,-,70
,강북구,65,1,69,5,1,4,1,40
,도봉구,62,-,70,5,-,7,-,33
,노원구,108,-,120,7,-,7,-,55
,은평구,105,-,116,11,-,12,-,73
,서대문구,70,1,78,5,-,5,-,38
,마포구,67,1,75,4,-,5,1,35
,양천구,102,-,111,8,-,8,-,54
,강서구,102,2,109,6,1,5,2,59
,구로구,73,-,80,4,-,4,-,36
,금천구,58,-,67,3,-,3,-,39
,영등포구,91,3,109,4,-,4,1,52
,동작구,59,-,64,5,-,6,-,42
,관악구,89,1,103,5,-,5,1,53
,서초구,68,1,76,3,-,3,1,32
,강남구,79,-,91,3,-,3,-,41
,송파구,151,-,163,3,-,3,-,85
,강동구,81,2,88,4,-,4,2,50
2011,합계,"1,808",4,"2,045",127,2,130,4,"1,022"
,종로구,31,-,36,1,-,2,-,18
,중구,28,-,31,1,-,1,-,17
,용산구,42,-,48,3,-,3,-,29
,성동구,60,-,69,1,-,1,-,31
,광진구,69,1,78,6,-,6,1,38
,동대문구,72,-,83,4,-,4,-,38
,중랑구,91,-,97,5,-,6,-,55
,성북구,79,1,91,13,1,13,1,62
,강북구,62,-,67,2,-,2,-,33
,도봉구,64,-,70,3,-,3,-,45
,노원구,115,1,126,13,-,14,1,60
,은평구,117,-,126,9,-,9,-,79
,서대문구,42,-,46,3,-,3,-,28
,마포구,56,1,62,6,1,5,1,30
,양천구,92,-,102,8,-,8,-,56
,강서구,94,-,104,6,-,6,-,50
,구로구,63,-,86,3,-,3,-,30
,금천구,47,-,52,-,-,-,-,35
,영등포구,81,-,100,3,-,4,-,25
,동작구,64,-,71,8,-,8,-,40
,관악구,76,-,83,5,-,5,-,55
,서초구,72,-,87,4,-,4,-,32
,강남구,77,-,87,8,-,8,-,37
,송파구,114,-,128,8,-,8,-,50
,강동구,100,-,115,4,-,4,-,49
2012,합계,"1,621",5,"1,882",95,2,95,3,791
,종로구,37,-,60,3,-,3,-,12
,중구,28,-,36,2,-,2,-,11
,용산구,32,-,37,-,-,-,-,16
,성동구,27,-,31,-,-,-,-,14
,광진구,51,-,60,1,-,1,-,22
,동대문구,50,-,55,2,-,2,-,29
,중랑구,78,-,84,5,-,5,-,50
,성북구,81,-,92,14,-,14,-,47
,강북구,55,-,60,5,-,5,-,34
,도봉구,53,1,54,6,-,6,1,23
,노원구,80,1,92,9,1,9,1,32
,은평구,84,-,100,4,-,4,-,46
,서대문구,44,-,48,2,-,2,-,21
,마포구,56,-,67,2,-,2,-,29
,양천구,67,-,72,3,-,4,-,38
,강서구,79,1,86,8,1,7,1,41
,구로구,85,1,103,11,-,11,-,45
,금천구,54,1,62,1,-,1,-,28
,영등포구,73,-,87,-,-,-,-,35
,동작구,39,-,42,3,-,3,-,24
,관악구,65,-,73,1,-,1,-,34
,서초구,68,-,83,1,-,1,-,23
,강남구,101,-,118,3,-,3,-,39
,송파구,149,-,183,5,-,5,-,57
,강동구,85,-,97,4,-,4,-,41
2013,합계,"1,562",4,"1,805",80,1,79,4,792
,종로구,30,-,35,1,-,1,-,13
,중구,27,-,35,1,-,1,-,14
,용산구,39,-,46,1,-,1,-,22
,성동구,40,-,44,2,-,2,-,18
,광진구,66,-,74,6,-,6,-,34
,동대문구,57,-,62,3,-,3,-,35
,중랑구,90,1,102,5,-,5,1,44
,성북구,57,-,67,7,-,7,-,32
,강북구,41,-,48,1,-,1,-,28
,도봉구,47,-,49,2,-,2,-,28
,노원구,87,1,98,6,-,6,1,38
,은평구,70,-,76,6,-,6,-,44
,서대문구,56,-,64,4,-,4,-,28
,마포구,55,-,66,2,-,2,-,22
,양천구,69,-,78,4,-,4,-,39
,강서구,90,-,95,4,-,4,-,51
,구로구,67,-,75,6,-,6,-,34
,금천구,35,-,38,1,-,1,-,18
,영등포구,76,1,93,2,-,2,1,34
,동작구,54,1,67,4,1,3,1,28
,관악구,72,-,87,4,-,4,-,42
,서초구,65,-,86,3,-,3,-,22
,강남구,75,-,87,2,-,2,-,30
,송파구,117,-,140,3,-,3,-,49
,강동구,80,-,93,-,-,-,-,45
2014,합계,"1,710",2,"2,021",96,1,100,1,830
,종로구,35,-,41,2,-,2,-,21
