시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,
초등학교,가양초등학교,대전광역시 동구 가양로 61,,36.342178,127.440677,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
초등학교,대동초등학교,대전광역시 동구 대동초등3길 21,,36.325415,127.446868,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
초등학교,대룡초등학교,대전광역시 동구 백룡로 123,,36.329849,127.455951,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
초등학교,대암초등학교,대전광역시 동구 동부로 55-61,,36.315841,127.460902,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
초등학교,동광초등학교,대전광역시 동구 백룡로11번길 20,,36.337249,127.449849,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
초등학교,동대전초등학교,대전광역시 동구 비래서로62번길 60,,36.351950,127.449256,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
초등학교,산내초등학교,대전광역시 동구 산내로 1292,,36.279268,127.470121,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
초등학교,산흥초등학교,대전광역시 동구 산내로 509,,36.229018,127.448455,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
초등학교,성남초등학교,대전광역시 동구 성남로32번길 5,,36.343527,127.429653,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
초등학교,신흥초등학교,대전광역시 동구 신흥초등길 21,,36.325714,127.439941,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
초등학교,용운초등학교,대전광역시 동구 용운로 204,,36.325564,127.465004,대전광역시 동구청,대전광역시 동부경찰서,Y,,,2018-08-31,6300000,대전광역시,
