기간,자치구,구분,계,맑음,흐림,비,안개,눈,기타/불명
2009,합계,발생건수,"44,320","37,803","2,525","3,332",17,212,431
,,사망자,501,418,38,40,-,4,1
,,부상자,"63,584","53,759","3,744","5,091",23,341,626
,종로구,발생건수,"1,579","1,313",145,111,-,6,4
,,사망자,18,15,1,1,-,1,-
,,부상자,"2,211","1,818",222,157,-,9,5
,중구,발생건수,"1,539","1,320",86,119,1,8,5
,,사망자,12,10,-,2,-,-,-
,,부상자,"2,078","1,738",129,185,3,16,7
,용산구,발생건수,"1,345","1,157",59,112,-,14,3
,,사망자,20,19,1,-,-,-,-
,,부상자,"1,927","1,634",95,174,-,19,5
,성동구,발생건수,"1,271","1,147",32,85,-,5,2
,,사망자,13,13,-,-,-,-,-
,,부상자,"1,745","1,551",37,147,-,8,2
,광진구,발생건수,"1,656","1,365",97,140,1,7,46
,,사망자,26,20,3,2,-,-,1
,,부상자,"2,335","1,910",139,202,1,9,74
,동대문구,발생건수,"1,983","1,619",203,150,-,9,2
,,사망자,27,21,4,2,-,-,-
,,부상자,"2,615","2,108",281,209,-,15,2
,중랑구,발생건수,"2,032","1,755",143,121,-,6,7
,,사망자,15,13,-,2,-,-,-
,,부상자,"2,825","2,447",184,175,-,8,11
,성북구,발생건수,"1,905","1,645",105,138,-,9,8
,,사망자,15,12,-,3,-,-,-
,,부상자,"2,617","2,207",144,235,-,17,14
,강북구,발생건수,"1,392","1,140",135,108,1,7,1
,,사망자,20,18,1,1,-,-,-
,,부상자,"1,949","1,587",197,154,1,9,1
,도봉구,발생건수,988,895,29,60,-,3,1
,,사망자,17,16,1,-,-,-,-
,,부상자,"1,405","1,262",42,94,-,6,1
,노원구,발생건수,"1,829","1,583",89,124,1,9,23
,,사망자,21,21,-,-,-,-,-
,,부상자,"2,602","2,213",145,186,2,19,37
,은평구,발생건수,"1,739","1,477",100,130,1,5,26
,,사망자,15,10,4,1,-,-,-
,,부상자,"2,379","2,018",144,183,1,6,27
,서대문구,발생건수,"1,231","1,065",69,89,1,5,2
,,사망자,26,21,2,2,-,1,-
,,부상자,"1,811","1,563",115,124,1,6,2
,마포구,발생건수,"1,658","1,430",56,120,2,8,42
,,사망자,29,22,2,4,-,1,-
,,부상자,"2,526","2,152",102,183,2,16,71
,양천구,발생건수,"1,732","1,420",139,159,1,7,6
,,사망자,18,15,2,1,-,-,-
,,부상자,"2,413","1,956",197,240,1,11,8
,강서구,발생건수,"1,994","1,749",82,143,3,9,8
,,사망자,15,12,-,3,-,-,-
,,부상자,"2,867","2,525",119,197,4,13,9
,구로구,발생건수,"1,583","1,364",77,133,-,9,-
,,사망자,15,13,1,1,-,-,-
,,부상자,"2,364","1,995",123,220,-,26,-
,금천구,발생건수,"1,081",878,95,101,-,6,1
,,사망자,21,17,2,2,-,-,-
,,부상자,"1,649","1,311",162,167,-,8,1
